Month,TIME_24_HOURS,MV_INVOLVED,BASE_SUB_BASE,COUNTY,ROAD,BRIEF_ACCIDENT_DETAILS,GENDER,AGE,CAUSE_CODE,VICTIM_TYPE,Date,Hour
3,0930,M/CYCLE KMDQ 3272 TVS & KMDS 892V TVS,NANDI CENTRAL,NANDI,KABIYET KURGONG-KIPKAREN SALIA RD,THE M/CYCLE COLLIDED HEAD ON WITH ANOTHER M/CYCLE,M,25&28,37.0,RIDERS,2017-03-23,9.0
8,1000,KBU666Q T/L/C/PRADO $M/CY KMDM 324D SIMBA,NYARI,MOMBASA,OLD MOIYNE DRIVE,LOST CONTROL AND RAMMED FROM REAR ONTO M/CYCE,M,A,16.0,RIDER P/PASSANGER,2017-08-04,10.0
2,1930,KBU 591M/ZF 5724 SCANIA & KMEA 508C TIGER,SAGANA,KIRINYAGA,KENOL-MAKUTANO,THE CYCLE HIT THE STATIONARY VEHICLE,M,A,37.0,RIDER AND P/PASSENGER,2017-02-22,19.0
3,0730,M/CYCLE KMCC 471M TVS & UNKNOWN M/VEHICLE,MUMIAS,KAKAMEGA,EKERO-SABATIA,THE VEHICLE COLLIDED HEAD ON WITH THE M/CYCLE,M & F/J,52 &17,98.0,RIDER & P/PASSENGER,2017-03-23,7.0
3,1500,KCF 031X I/M/BUS & M/C KMDR 411F,PAP ONDITI,KISUMU,KATITO KEMDUBAY,THE M/CYCLE LOST CONTROL AND WAS KNOCKED DOWN BY THE SAID BUS,M&F,"42,24,32",26.0,RIDER & P/PASSENGER,2017-03-18,15.0
3,1700,KCX 811T/H/MATATU & M/CYCLE KBF 923J FOCIN,AWENDO,MIGORI,AWENDO - RONGO,THE M/CYCLE COLLIDED HEAD ON WITH THE M/VEHICLE,M,A,50.0,RIDER & P/PASSENGER,2017-03-21,17.0
3,1540,KCB 808J RANGE ROVER SPORT & M/CYCLE,SAGANA,KIRINYAGA,SAGANA-MAKUTANO,THE VEHICLE LOST CONTROL AND KNOCKED DOWN THE M/CYCLE,M,21 & 21,26.0,RIDER & P/PASSENGER,2017-03-21,15.0
3,1400,UNREGISTERED M/CYCLE,DTEO GIGIRI,NAIROBI,PROF.WANGARI MATHAI,THE M/CYCLE LOST CONTROL AND ROLLED SEVERAL TIMES,M,A,36.0,RIDER & P/PASSENGER,2017-03-21,14.0
3,0930,KYX 551 T/P/UP & M/CYCLE KMDG 038X RANGER,KANDARA,MURANGA,MAKENJI-MURUKA,THE M/CYCLE COLLIDED HEAD ON WITH THE M/VEHICLE,M,A,37.0,RIDER & P/PASSENGER,2017-03-21,9.0
3,1350,M/C KMDQ789F BOXER & UNKNOWN M/VEHIVLE,DTEO EMBAKASI,NAIROBI,MOMBASA RD,VEHICLE KNOCKED DOWN A VICTIM,M,A,29.0,RIDER,2017-03-25,13.0
7,2000,"UNREGISTERED M/CYCLE, PEDESTRIAN",chuka,THARAKA NITHI,KIRIANE MUTINDWA ROAD,RIDDER HIT A PEDESTRIAN CROSSING THE ROAD,M,J,,RIDER,2017-07-30,20.0
3,0710,M/V KBP 024Q MITSUBISHI OUTLANDER & M/C KMDE 518E TORNADO,DTEO GILGIL,NAIROBI,LOWER KABETE,THE MISTUBISHI OUTLANDER FAILED TO KEEP TO HIS LANE AND COLLIDED WITH M/CYCLIST KILLING HIM INSTANTLY.,M,39,8.0,RIDER,2017-03-25,7.0
3,1500,KBS 969D LORRY & KMDS 737M DAYUN,THIKA,KIAMBU,NYERI - THIKA,THE M/CYCLE HIT THE REAR SIDE OF THE LORRY,M,40,57.0,RIDER,2017-03-21,15.0
3,1600,KBS 393J HARRIER & M/CYCLE KMCS 524Y HAOJUE,OLKALOU,NYANDARUA,OLKALOU-KARIAMU,THE VEHICLE COLLIDED HEAD ON WITH THE M/CYCLE,M,50,7.0,RIDER,2017-03-21,16.0
4,1200,KTWB 815D,EMBU,EMBU,EMBU-KIBUGU,"THE TRICYCLE LOST CONTROL , VEERING OFF THE ROAD AND LANDED INTO A DITCH.",M,A,26.0,RIDER,2017-04-25,12.0
7,2130,KBJ 388F T/PREMIO & M/CYCLE,MACHAKOS,MACHAKOS,MACHAKOS-KYUMBI,VEHICLE KNOCKED DOWN A VICTIM,M,A,98.0,RIDER,2017-07-03,21.0
3,0745,KCJ 271F VITZ & M/C KMDM 733G ZAN LG,KILIFI,KILIFI,KILIFI-MOMBASA,THE M/VEHICLE LOST CONTROL AND HIT THE M/CYCLE,M,A,26.0,RIDER,2017-03-19,7.0
5,1540,M/V KBE 892C M/LORRY AND M/CYC.KMDG 065U BOXER,NAKURU,NAKURU,ELDORET NAKURU,LORRY COLLUDED WITH A M/CYCLE KILLING THE RIDER ON THE SPOT.,M,20,22.0,RIDER,2017-05-13,15.0
3,1200,KBJ 687F TOYOTA MATATU & M/C KMCS 752R JINCHENG,JUJA,KIAMBU,GATUNDU RD,THE MOTORCYCLE COLLIDED WITH THE SAID MATATU,M,A,8.0,RIDER,2017-03-18,12.0
3,0610,KBX 997Q,DIANI,KILIFI,KILIIFI-DIANI,THE VEHICLE LOST CONTOL AND RAMMED INTO A TREE,M,25,7.0,RIDER,2017-03-18,6.0
5,1230,M/CY. KMDV 158T BOXER,KENDU BAY,HOMA BAY,KENDU BAY/ HOMA BAY RD,M/CYCLIST LOST CONTROL AND HIT A CULVERT ON THE SIDE OF THE ROAD.DIED ON THE SPOT.,M,40,26.0,RIDER,2017-05-20,12.0
3,2030,KBB 712T ISUZU M/BUS & KMCZ 541P BOXER,DTEO INDO AREA,NAIROBI,LIKONI ROAD,THE BUS HIT THE M/CYCLE ON THE REAR,M,A,39.0,RIDER,2017-03-09,20.0
2,2039,KCC 374L HINO MINIBUS & KMCG 188U SKYGO,KANGUNDO,MAKUENI,NAIROBI-KANGUNDO,THE VEHICLE COLLIDED HEAD ON WITH THE M/CYCLE,M,36,82.0,RIDER,2017-02-22,20.0
8,2130,M/V KAK 806M T/MATATU $M/CY MDS 739S BOXER,NYAHURURU,NYANDARUA,NYAHURURU BOIMAN RD,HEAD ON COLLISSION,M,A,39.0,RIDER,2017-08-04,21.0
3,1430,KBM 896W TOYOTA IST & KMBX 077W HONDA,AHERO,MIGORI,KISUMU-NAIROBI,THE VEHICLE HIT THE M/CYCLE,M,26,29.0,RIDER,2017-03-09,14.0
3,1530,KMDZ 933Y CAPTAIN & T/PROBOX,MERU,MERU,MITUNGUU-NKUBU,THE VICTIM WAS RAN OVER BY A VEHICLE,M,32,57.0,RIDER,2017-03-09,15.0
5,1700,"M/V KCG 337Y R.ROVER, M/CYC. KMDL 946J BOXER AND KMCQ 249T BOXER",BUTERE,KISUMU,SAB ATIA EKERO RD,M/V DRIVER HIT TWO M/CYCLES AT A ROAD JUNCTION KILLING THEM ON THE SPOT.,M,A,10.0,RE,2017-05-20,17.0
5,1000,KMDZ 204F BAJAJ BOXER AND KAE 617P FORD,KERICHO,KERICHO,KENEGUT KAPSOIT,VEHICLE KNOCKED DOWN A VICTIM,F,A,37.0,PILLION PASSENGERS,2017-05-29,10.0
8,2000,KCL 549H TOYOTA PASSO AND KMCP 129J,ATHI RIVER,MACHAKOS,,VEHICLE KNOCKED DOWN A VICTIM,J,J,8.0,PILLION PASSENGER,2017-08-11,20.0
7,1900,GKB 813D FORD RANGER,NAKURU,NAKURU,NAKURU-NAIROBI,VEHICLE KNOCKED DOWN A VICTIM,M,A,90.0,PEDSTIRAN,2017-07-29,19.0
7,2050,KBY 113K T/MATATU,RUIRU,KIAMBU,THIKA SUPER HIGHWAY,THE VEHICE KNOCKED DOWN A VICTIO\M,M,A,60.0,PEDSTIRAN,2017-07-29,20.0
6,1550,UNKNOWN M/V & 2 PEDS,SAGANA,KIRINYAGA,SAGANA-MAKUTANO-KENOL RD,THE UNKNOWN M/V DRIVEN BY UNKNOWN DRIVER HEADING TO NAIROBI RAMMED THE REAR OF THE M/CYCLE BEFORE LOOSING CONTROL AND KNOCKING DOWN TWO PEDESTRIANS KILLING THEM ON THE SPOT,M,21& 28,7.0,PEDESTRIANS,2017-06-17,15.0
3,1945,"KCB 954D T/MATATU, M/C KMDU 487R SKYGO &UNKNOWN TRAILER",NAIVASHA,NAKURU,NAKURU- NAIROBI,HIT & RUN,M,A,39.0,PEDESTRIAN & RIDER,2017-03-25,19.0
7,1230,KBX 682K TOYOTA MATATU,MERU,MERU,MERU EMBU,VEHICLE KNOCKED DOWN A VICTIM,M,58,10.0,PEDESTRIAN,2017-07-07,12.0
7,1645,KMCW 866P SKYGO,MACHAKOS,MACHAKOS,KAVIANI SAIKONI,THE CYCLE KNOCKED DOWN THE VICTIM,F,3,10.0,PEDESTRIAN,2017-07-07,16.0
7,2240,KBY 038A TOYOTA PRADO,NTULELE,NAROK,NAROK MAI MAHIU,VEHICLE KNOCKED DOWN A VICTIM,M,J,60.0,PEDESTRIAN,2017-07-05,22.0
7,1800,KCB 301V MITSUBISH CANTER,BOMET,BOMET,BOMET-NAROK,VEHICLE KNOCKED DOWN A VICTIM,F,25,68.0,PEDESTRIAN,2017-07-06,18.0
7,2240,UNKNOWN,EMBAKASI,NAIROBI,NORTH AIRPORT ROAD,HIT & RUN,M,A,98.0,PEDESTRIAN,2017-07-05,22.0
7,2200,KAX 769P TATA LORRY,STAREHE,NAIROBI,OUTERING ROAD,VEHICLE KNOCKED DOWN A VICTIM,M,A,98.0,PEDESTRIAN,2017-07-08,22.0
8,1045,KBX 888U MITSUBISH LORRY,NYERI,NYERI,TAGWA-NDATHI MURRAM ROAD,THE VICTIM TRIED TO BOARD THE MOVING VEHICLE AND FELL OFF,M,A,67.0,PEDESTRIAN,2017-08-01,10.0
8,1230,KBK 287U/ZC 3921 AXOR TRAILER,NAIVASHA,NAKURU,MAAI-MAHIU NAIVASHA,VEHICLE KNOCKED DOWN A VICTIM,M,39,68.0,PEDESTRIAN,2017-08-05,12.0
7,2040,UNKNOWN,INDO AREA,NAIROBI,LUNGALUNGA ROAD,HIT & RUN,M,A,98.0,PEDESTRIAN,2017-07-08,20.0
7,2030,KCH 132E TOYOTA HIACE,NAIVASHA,NAKURU,NAIROBI NAKURU,VEHICLE KNOCKED DOWN A VICTIM,F,50,63.0,PEDESTRIAN,2017-07-08,20.0
7,1730,KBP 438A ISUZU MINI BUS,MAKONGENI,NAIROBI,JOGOO ROAD,VEHICLE KNOCKED DOWN A VICTIM,M,A,98.0,PEDESTRIAN,2017-07-08,17.0
7,1130,KBJ 695B TOYOTA MATATU,NAKURU,NAKURU,BISMAK MURRAM ROAD,VEHICLE KNOCKED DOWN A VICTIM,J,2,98.0,PEDESTRIAN,2017-07-08,11.0
7,0400,KBT 569P ISUZU & KCC 189P ASHOK LEYLAND TIPPER,NTULELE,NAROK,NAROK MAI MAHIU,THE ISUZU LOST CONTROLVEERED OFF THE ROAD AND HIT THE TIPPER AND THE VICTIM,M,32,29.0,PEDESTRIAN,2017-07-08,4.0
7,0700,KBV 174D TOYOTA COROLLA,STAREHE,NAIROBI,KIAMBU ROAD,VEHICLE KNOCKED DOWN A VICTIM,M,32,63.0,PEDESTRIAN,2017-07-08,7.0
7,1350,UNKNOWN,LANGATA,NAIROBI,SOUTHERN BY PASS,HIT & RUN,M,A,98.0,PEDESTRIAN,2017-07-09,13.0
7,0800,KCK 029C ISUZU LORRY,EMBU,EMBU,KATHENGE SIAKAGO,VEHICLE KNOCKED DOWN A VICTIM,M,J,7.0,PEDESTRIAN,2017-07-09,8.0
7,2145,KBN 333C MERCEDES BENZ,DAGORETTI,NAIROBI,WAIYAKI WAY,VEHICLE KNOCKED DOWN A VICTIM,M,A,7.0,PEDESTRIAN,2017-07-09,21.0
