user_id,year_of_birth,gender,region,living_standards_measure,highest_education,employment,internet_access,cable_tv_subscription,survey_completion,survey_participation_consent,bank_account,bank,last_interaction_with_bank,likelihood_to_recommend,comment_on_why,themes,start_time(GMT),time_of_last_update(GMT),week
358646,1991,Prefer not to answer,NA,NA,NA,Student,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 9:48,7/23/2021 9:51,30
18003003,1984,Female,coast,5 to 8,Completed Secondary,Student,Yes,Yes,FINISHED,YES,Yes,KCB,Teller or Branch transactions,5,Safrcom don''t allow 1 person to Bank more than five at the same time,speed/efficiency,7/20/2021 10:10,7/23/2021 10:13,30
5618870,1994,Male,riftvalley,5 to 8,Completed College,Student,Yes,No,FINISHED,YES,Yes,National Bank,Mobile banking,10,They offer good services,service,7/20/2021 10:08,7/23/2021 10:12,30
2951848,1995,Female,riftvalley,NA,NA,Other/Unemployed,Yes,NA,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 10:28,7/23/2021 10:31,30
17386348,1999,Male,coast,9 to 12,In Uni,Student,Yes,Yes,FINISHED,YES,Yes,Equity,Teller or Branch transactions,7,Transaction cost are affordable,"account,rates/charges",7/20/2021 9:20,7/23/2021 9:23,30
2888859,1997,Male,central,9 to 12,Completed College,Student,Yes,No,FINISHED,YES,Yes,Co-operative,Teller or Branch transactions,7,Good service but long queues,"service,speed/efficiency",7/20/2021 10:57,7/23/2021 11:00,30
18003120,1974,Female,riftvalley,13 to 17,Completed College,Skilled worker,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 9:58,7/23/2021 10:01,30
2274344,1991,Male,eastern,9 to 12,Completed University,Street or Market Seller,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,8,Convinient,accessibility,7/20/2021 11:05,7/23/2021 11:08,30
2273177,1996,Female,nyanza,9 to 12,Some University,Skilled worker,Yes,No,FINISHED,YES,Yes,Diamond Trust Bank,ATM,8,They attend customers very fast,"service,speed/efficiency",7/20/2021 10:57,7/20/2021 11:23,30
17774579,1996,Female,riftvalley,5 to 8,In College,Student,Yes,No,FINISHED,YES,Yes,Equity,Customer service desk/ enquiries,8,Services are okay,service,7/20/2021 8:56,7/23/2021 8:59,30
5748358,1993,Male,western,13 to 17,Completed Secondary,Street or Market Seller,No,Yes,FINISHED,YES,Yes,Equity,Mobile banking,10,Because is the highly and likely recommend,,7/20/2021 10:38,7/23/2021 10:41,30
