,Land_Cost,Land_area,Cost_per_m2,Land_location,land_description
0,"KSh 2,995,000",,Null,"gatanga road, Thika Road","Location

The project is strategically located only less than 9 minutes from Blue Post Hotel Thika; off exit 18 of Thika Superhighway and right on Gatanga Rd.
The property is situated near the award winning project Success Gardens Phase 1 by Optiven that is sold out and customers are now building their palatial dream homes.



Proposed Value additions

Compacted Murram roads and culverts on these roads.
Trees will be planted along the main roads for aesthetics and freshness of the environment.
Perimeter wall enhances security around the Gated Controlled Residential Area.
Water reticulated to every plot for ease of building.
Electricity on site for customers to connect to their plots.
Securit..."
1,"KSh 140,000,000",,Null,Kileleshwa,"Commercial property suitable for high-end apartments. This gentle sloping half-acre in the heart of Kileleshwa offers you a perfect property to set your masterpiece. With fantastic drainage, excellent road access, and a serene environment, the property is the perfect setting for your development.
Are you interested in this property? Book your personal tour today."
2,"KSh 41,000,000",,Null,"Runda, Westlands","Looking for your own piece of land to build your dream home or investment property? Look no further! This 1/2 acre land is located in a prime location with a cabro road leading all the way to the property.

City council water is readily available, making it easy to start building your ideal home or business. Plus, with a KPLC post on the property, you'll have easy access to electricity.

Located in a secure environment, you can rest easy knowing that your investment is protected. Don't miss out on this incredible opportunity to own your own piece of land in a fantastic location. Contact us today to learn more!"
3,"KSh 140,000,000",,Null,Kiambu Road,"this prime plot is a 2nd-row plot on kiambu road, within close range of ridgeways and muthaiga. once the kiambu road undergoes dual carriage, this plot will be ideal for a commercial or mixed-used development."
4,"KSh 220,000,000",0 ac,Null,Kileleshwa,"5-bedroom house for sale in Kileleshwa
Located in the heart of Kileleshwa in a sought after gated community, this 0.6-acre property is currently on the market for sale.

The main house boasts 5 spacious bedrooms, a large dining and living room offering plenty of space for family and guests. Step outside to a private garden complete with a swimming pool, sauna and an outdoor entertainment area.

With easy access to schools, shopping malls and restaurants this prime location provides both serenity and convenience. Additionally, this property is also perfect for redevelopment.

Property Features
5 bedrooms (4 en suite) / 4 bathrooms / garden / dining room / family/ tv room / guest cloakroom / b..."
5,"KSh 370,000,000",,Null,Kilimani,"This gem of a property is located off Ngong and nestled at the junction of Rose Avenue and Kindaruma Road. It is perfectly shaped as a rectangle and is accessible from both roads. With its proximity to malls, hospitals, police station and schools it is just perfectly positioned for a residential development."
6,"KSh 20,000,000",0 ac,"KSh 160,000,000 / ac","Kangemi waiyaki way, Nairobi Kenya, Kangemi, Westlands","selling a very prime plot 1/8 acre touching the main road next to Family Bank ,eighth of an acre ,touching main road from waiyaki way via Kangemi road ,ideal for commercial and residential property"
7,"KSh 300,000,000",,Null,Kilimani,"0.89 Acre Property for Occupation or Re-development

This lovely piece of property is rectangular shaped flat land.
It has 3 structures on it that are currently being used as offices. Total constructed space approximately 30,000 square feet.

There is ample water supply with some underground tanks. parking spaces for 30+ cars , a restaurant space and a break out area.

The area is excellent with. junction mall being only 5 mins away and public transport a 4 minute walk away.

If you are looking for your corporate headquarters this is the plot for you.

Or are you a developer looking for your next project? the area has a height restriction of 10 floors.

Viewing strictly by appointment"
8,"KSh 400,000",5000 m²,KSh 80 / m²,Komarock,"50 by 100 For sale in Komarock. These plots are ideally located. They are ideal for construction of rental units. A few meters from Kangundo Road. Water, electricity and sewer line on site"
9,"KSh 30,000,000",0 ac,"KSh 60,000,000 / ac","Njathaini rd, Kiambu Road","1/2 Acre plot in Njathaini - Starehe Girls High school Road.
Suitable for commercial use, apartments or Go downs. 
Plot touching tarmac road, 

Features :
Water Available
Electricity Available 
Perimeter wall 
Asking 30Mn"
10,"KSh 190,000,000",,Null,Muthaiga,"Very Prime Residential Property For Sale in between Muthaiga, Ridgeways and Thome Estates asking 190M Negotiable - 2.3 Acre inside a gated community. 

Strategically located and Serviced parcel of land located 5 Minutes from Thika Super Highway
Water and electricity available. 
Ideal for residential homes development.
☆2.3Acreas block on one side
☆ Has access road on three sides which makes it very ideal for accessibility
☆Ideal for Townhouses and Massionates. 
☆Inside a gated community, a well place position with access on three sides.
☆Proximity to International Schools-Breaburn, Sabis, and more.
☆5min Drive to AAR newly opened Hospital, 15Min Drive to Aghakhan Hospital.
☆5min Drive to Gar..."
11,"KSh 70,000,000",,Null,Thika Road,"Land For Sale in Thika - 3KE1501761
A piece of land in the heart of Thika is available for sale. It is road facing and has a compound of its own. There's a house within the compound that can be used for commercial purposes."
12,"KSh 173,600,000",,Null,Karen,"This is a wonderful 2.8-acre parcel of land for sale on Mbagathi Ridge, Karen. The property sits within a compound and is ideal for residential development. The land is gently sloping, rich in wild shrubs and indigenous trees, has river frontage and electric fencing on 3 sides of the property. There is also an eco-friendly 2 bedroom cottage with views across the forest. This property is ideal for residential development."
13,"KSh 35,000,000",0 ac,Null,Karen,"Various options available in the genaral Karen area.Karen Hardy,Plains,KCB,Miotoni
The plots are fully seviced and ready to build
All documents available for due diligence
Half acre options
Serene and affluent neighbourhoods
All amenities in close proximity"
14,"KSh 75,000,000",,Null,"Westlands Area, Westlands","0.43 acres of redevelopment land for sale.

Discover a Prime Opportunity for Redevelopment on the most sought after suburbs of Shanzu, Kyuna.

Situated along this coveted location, this expansive 0.45acres parcel presents an unparalleled canvas for your redevelopment vision.

Investment Opportunity:
Investors and developers alike will appreciate the promising ROI potential. Take advantage of the flourishing real estate market on Shanzu Road in this thriving community."
15,"KSh 47,000,000",,Null,Ridgeways,"Residential plots for sale in Ridgeways.

. 0.5 acre plot for sale in a gated community of 10 plots.
. Flat rectangular shaped plots.
. Electricity already on site.
. Water already on site.
. Immediate road is tarmac.

About 7 minutes drive to Ridgeways.
close to the UN and Braeburn and Rosslyn academy."
16,"KSh 680,000,000",,Null,"General Mathenge, Westlands","1 acre commercial/ residential plot For sale along General Mathenge ideal for high rise buildings or a mall. Price is 680m.
It is located within a secure neighborhood, close to schools, hospitals and the shopping malls.
Asking price is 680,000,000"
17,"KSh 40,000,000",,Null,"Hardy, Karen Hardy","This piece of land is located at hardy, it's good for residential 5he neighborhood is safe and it's near hospitals, malls, golf course , and air port with a clean and ready title deed"
18,"KSh 95,000,000",0 ha,"KSh 564,468,212 / ha",Langata,"½ Acre land for sale Along Langata Road. It’s located just before you reach the By Pass touching the tarmac road. 
It is a very Prime land for Apartments or Commercial Space developments
Currently in use as a car yard.

Description:
- The plot measures 0.1683 Ha
- Flat land
- Nearest landmarks include the Carnivore, Uhuru gardens and Langata Barracks secondary school
- Land is Serviced (Electricity and water connected)
-It is highly convenient as it has two road frontages that is Langata road and the Southern Bypass (As well as a quick access to the Nairobi Express way-Airports (Wilson and JKIA).
- The plot has high potential and is suitable for residential and commercial purposes"
19,"KSh 450,000,000",,Null,"Ndege road, Karen","**Prime 5 Acres of Karen Land with 2 Houses and Cottages**

Discover an unparalleled opportunity to own a magnificent 5-acre parcel of Karen's coveted red soil, located on Ndege Road. This pristine property boasts breathtaking beauty and comes with two well-appointed houses and cottages.

**Key Features:**

1. **Location:** Situated in the prestigious Karen area, renowned for its exclusivity and tranquility.

2. **Land Quality:** The red soil on this 5-acre parcel ensures optimal fertility and suitability for various purposes, from residential development to agriculture.

3. **Residential Retreat:** Enjoy the luxury of two meticulously designed houses that offer both comfort and style. Each..."
20,"KSh 38,000,000",,Null,"Runda, Westlands","Wealthlink presents a prime half acre plot in Runda
In a new subdivision that would turn out to be an amazing gated community soon
The price is discounted and will turn to be 35M soon as the facilities and value addition is realized.
On redsoil, with a good natural drainage.
Ideal for a modern residential development.
Clean and valid documentation,
In a secure and highly developing neighbourhood
All amenities and utilities on site and within
Contact us for more information and viewing arrangement.
Best Rgds,
Anthony"
21,"KSh 40,000,000",0 ac,Null,Karen,"1/2 Acre plots for development in a controlled gated community
They are rectangular red soil flat plots
Electricity and water are next to these plots for connection
The plots come with mature trees
The access road to these plots is an all-weather road
They are leasehold plots"
22,"KSh 160,000,000",,Null,Lavington,"3/4 ACRE LAND- CHALBI DRIVE.

This prime plot has a 3 bedroom bungalow and is very ideal for a commercial re-developement.
The demand for residential plots in the said locality is good which is evident with the rampant residential estates being developed.

FEATURES:
🔥Ready title(freehold)
🔥Sewer line.
🔥Serviced.
🔥Red soil.
🔥Fair gradient. 

PRICE: KSH 160M."
23,"KSh 75,000,000",,Null,"Nyari Central, Nyari, Westlands","0.5 of an acre piece of land in a very prime place in Nyari,surrounded by houses, suitable for a residential house,near schools, shopping malls and hospitals."
24,"KSh 450,000,000",,Null,"Westlands Area, Westlands","Approx 1.2 acres for sale in Westlands on Ring Parklands overlooking Muthaiga and Karura Forest

Located on Ring Road Parklands just after the Eldama Ravine Rd roundabout, this prime property enjoys stunning, green views over Muthaiga and Karura forest. The property is triangular in shape and slopes down to a river. The plot benefits from a long boundary facing the forest views

The area has seen boost in interest and values due to the new dual carriageway linking Westlands to Limuru Road and the growth of apartment developments in the area.

The property has easy access to the centre of Westlands.

The plot would be ideal for a high-end residential apartment project, mixed use or even a com..."
25,"KSh 136,500,000",39 ac,Null,"Malaa, Kamulu Joska Malaa",Very prime land of 20 acres and 19 acres adjacent bordering Athi River and Mwalimu Farms. There are godowns on site. Kshs 3.5M an acre selling as a block.
26,Null,Null,Null,Null,Null
27,"KSh 120,000,000",,Null,"Mijikenda, Lavington","Primely located in the tranquil environs of Lavington, this plot is ideal for residential development.

The secure neighborhood and lush greenery add to the features that complement the plot."
28,"KSh 27,000,000",0 ac,"KSh 108,000,000 / ac",Thika Road,"Prime land for sale in Thika - 3KE1537110 

We have a commercial plot available in the heart of Thika. It is about 1/4 of an acre and is on the main road. The plot is good for a petrol station or strip mall. There are 2 plots available next to each other."
29,"KSh 65,000,000",,Null,"Kirarapon, Karen","A prime 1 acre plot ideal for redevelopment at Kerarapon touching tarmac near Serare school.
Features
* Front row parcel
* Can be used for commercial or residential use.
* Can be subdivided into small parcels
* Gentle sloped
* Black soil
* 4 bedroom bungalow on it
* Water and electricity on site
* Quite and serene surrounding
* Easily accessible by public and private means of transport

Guide Sale Kshs. 65M o.n.o"
30,"KSh 40,000,000",2023 m²,"KSh 19,773 / m²","Runda, Westlands","What??
 A very rare to find plot in a gated compound within the secure suburb of Runda
Its close proximity to schools,Malls,hospitals,recreational centres etc..... 
Its strategic location comes with all basic and socio- economic amenities.
Title documents are readily available for due diligence and clarifications.
Quality is pure red soil on a flat levelled ground,fully serviced with water, electricity and infrastructure.
This is a golden opportunity for high end investors and home owners.
HURRY! HURRY!
SERIOUS OFFERS INVITED!!"
31,Price not communicated,,Null,Mombasa Road,"Introducing a Spectacular Opportunity: 50 Acres of Prime Land

Discover a remarkable parcel of land nestled in a prime location, boasting an impressive 1-kilometer frontage along Mombasa Road frontage, a borehole, a dam, and the potential for both agricultural and commercial endeavors.
This expansive property offers you the chance to unlock a world of opportunities.

Contact me now to explore this magnificent property and embark on a journey of endless possibilities!"
