FID,DHSID,DHSCLUST,LAT,LONG,ITN_Covera
0,KE201400000068,68,-0.275692,36.286752,0.401155415
1,KE201400000069,69,-0.183179,36.257175,0.402133667
2,KE201400000080,80,-0.61271,36.465081,0.360235656
3,KE201400000086,86,-0.881419,36.569475,0.367948561
4,KE201400000093,93,-0.269884,37.013468,0.426923697
5,KE201400000094,94,-0.023726,37.049605,0.421799187
6,KE201400000099,99,-0.495424,37.12839,0.467674551
7,KE201400000100,100,-0.430589,37.14386,0.467667607
8,KE201400000101,101,-0.44007,37.092669,0.442312283
9,KE201400000102,102,-0.387542,37.124075,0.461818346
10,KE201400000103,103,-0.501534,37.105293,0.451309667
11,KE201400000104,104,-0.485296,37.130549,0.467674551
12,KE201400000105,105,-0.523832,37.128182,0.463728574
13,KE201400000106,106,-0.394043,37.089916,0.443143155
14,KE201400000107,107,-0.488713,37.006113,0.406707889
15,KE201400000108,108,-0.587964,36.937258,0.405712285
16,KE201400000109,109,-0.5292,36.946806,0.403413103
17,KE201400000110,110,-0.565426,36.886207,0.391143973
18,KE201400000111,111,-0.518254,36.913221,0.39239081
19,KE201400000112,112,-0.562322,36.982532,0.412078211
20,KE201400000113,113,-0.636014,37.123259,0.486161293
21,KE201400000114,114,-0.52712,37.007515,0.413123599
22,KE201400000115,115,-0.474489,36.832314,0.382219564
23,KE201400000116,116,-0.469786,37.054376,0.424502665
24,KE201400000117,117,-0.44266,36.925861,0.367795944
25,KE201400000118,118,-0.43618,36.954202,0.367795944
26,KE201400000119,119,-0.466341,36.95966,0.397386774
27,KE201400000120,120,-0.42296,36.977647,0.392225463
28,KE201400000121,121,-0.427778,36.953439,0.367795944
29,KE201400000122,122,-0.426272,36.970946,0.392225463
30,KE201400000123,123,-0.434915,36.964839,0.392225463
31,KE201400000124,124,-0.437902,36.959497,0.392225463
32,KE201400000125,125,-0.684701,37.286839,0.565406521
33,KE201400000126,126,-0.674971,37.307785,0.565443367
34,KE201400000127,127,-0.728845,37.355214,0.576542317
35,KE201400000128,128,-0.5874,37.355233,0.567627533
