Permutation Importance,Variable
-0.004713528,Euc_pos
-0.001367787,strt_shape
-0.000252144,Rd_nd_btwn
0.000200068,Landuse_en
0.00197632,HillShade
0.002177523,Rd_eg_btwn
0.002373871,Euc_inform
0.002485067,Euc_Rail
0.002801416,Euc_police
0.003222252,Bup_p_strt
0.003393088,Euc_Bustop
0.003507654,Euc_health
0.003762244,Slope
0.004026417,Wtr_edg_bt
0.004376616,Pop_p_strt
0.004659436,Euc_social
0.005233956,Euc_indust
0.005448281,GHS_Pop_de
0.005483761,Ndvi_strt
0.005923849,Euc_rivr
0.010795678,Wtr_nd_btw
0.013674433,Euc_School
0.014286804,Sewr_eg_bt
0.01438442,Night_Ligh
0.014531966,Euc_higher
0.016017843,Rd_nd_dg
0.019901345,Wtr_nd_dg
0.021444857,Sewr_nd_bt
0.030881347,Elevation
0.035258097,Sewr_nd_dg
0.053291797,Euc_Railst
0.100583191,Euc_CBD
